"Entity Name","Attribute Is PK","Attribute Is FK","Attribute Required","Attribute Name","Entity Id","Child Relationship Id","Child Relationship Name","Child Relationship Parent to Child Rule","Child Relationship Child to Parent Rule","Child Relationship Cardinality","Child Relationship Null Option","Parent Entity Name","Parent Entity Id","Parent Relationship Id","Parent Relationship Name","Parent Relationship Parent to Child Phrase","Parent Relationship Child to Parent Phrase","Parent Relationship Cardinality","Parent Relationship Parent to Child Rule","Parent Relationship Child to Parent Rule","Child Entity Id","Child Entity Name"
T_AMBITOS_VULNERABILIDAD,No,No,No,FEC_ALTA,{9183F6DA-6D66-465B-A5FC-E33B953BC6EA}+00000000,{88CC8173-664F-47B8-B054-724EE731EC2F}+00000000,R/61,"A T_AMBITOS_VULNERABILIDAD is associated with zero, one or more T_LLAMADAS_102s.","A T_LLAMADAS_102 is associated with zero or one T_AMBITOS_VULNERABILIDADs.",Zero-or-One-to-Zero-One-or-More,"Nulls Allowed",T_AMBITOS_VULNERABILIDAD,{9183F6DA-6D66-465B-A5FC-E33B953BC6EA}+00000000,,,,,,,,,
T_AMBITOS_VULNERABILIDAD,No,No,No,FEC_BAJA,{9183F6DA-6D66-465B-A5FC-E33B953BC6EA}+00000000,,,,,,,,,,,,,,,,,
T_AMBITOS_VULNERABILIDAD,No,No,No,FEC_MODIF,{9183F6DA-6D66-465B-A5FC-E33B953BC6EA}+00000000,,,,,,,,,,,,,,,,,
T_AMBITOS_VULNERABILIDAD,Yes,No,Yes,ID_AMBITO_VULNERABILIDAD,{9183F6DA-6D66-465B-A5FC-E33B953BC6EA}+00000000,,,,,,,,,,,,,,,,,
T_AMBITOS_VULNERABILIDAD,No,No,No,N_AMBITO_VULNERABILIDAD,{9183F6DA-6D66-465B-A5FC-E33B953BC6EA}+00000000,,,,,,,,,,,,,,,,,
T_AMBITOS_VULNERABILIDAD,No,No,No,USR_ALTA,{9183F6DA-6D66-465B-A5FC-E33B953BC6EA}+00000000,,,,,,,,,,,,,,,,,
T_AMBITOS_VULNERABILIDAD,No,No,No,USR_BAJA,{9183F6DA-6D66-465B-A5FC-E33B953BC6EA}+00000000,,,,,,,,,,,,,,,,,
T_AMBITOS_VULNERABILIDAD,No,No,No,USR_MODIF,{9183F6DA-6D66-465B-A5FC-E33B953BC6EA}+00000000,,,,,,,,,,,,,,,,,
T_CATEGORIAS_MOTIVO_I,No,No,No,FEC_ALTA,{DC286433-ECDD-4718-BA32-52155D5BEF9B}+00000000,{617440E0-3DA6-419B-ACEA-493B28664E40}+00000000,R/81,"A T_CATEGORIAS_MOTIVO_I is associated with zero, one or more T_MOTIVOS_INTERVENCIONs.","A T_MOTIVOS_INTERVENCION is associated with zero or one T_CATEGORIAS_MOTIVO_Is.",Zero-or-One-to-Zero-One-or-More,"Nulls Allowed",T_CATEGORIAS_MOTIVO_I,{DC286433-ECDD-4718-BA32-52155D5BEF9B}+00000000,,,,,,,,,
T_CATEGORIAS_MOTIVO_I,No,No,No,FEC_BAJA,{DC286433-ECDD-4718-BA32-52155D5BEF9B}+00000000,,,,,,,,,,,,,,,,,
T_CATEGORIAS_MOTIVO_I,No,No,No,FEC_MODIF,{DC286433-ECDD-4718-BA32-52155D5BEF9B}+00000000,,,,,,,,,,,,,,,,,
T_CATEGORIAS_MOTIVO_I,Yes,No,Yes,ID_CATEGORIA_MOTIVO,{DC286433-ECDD-4718-BA32-52155D5BEF9B}+00000000,,,,,,,,,,,,,,,,,
T_CATEGORIAS_MOTIVO_I,No,No,No,N_CATEGORIA_MOTIVO,{DC286433-ECDD-4718-BA32-52155D5BEF9B}+00000000,,,,,,,,,,,,,,,,,
T_CATEGORIAS_MOTIVO_I,No,No,No,USR_ALTA,{DC286433-ECDD-4718-BA32-52155D5BEF9B}+00000000,,,,,,,,,,,,,,,,,
T_CATEGORIAS_MOTIVO_I,No,No,No,USR_BAJA,{DC286433-ECDD-4718-BA32-52155D5BEF9B}+00000000,,,,,,,,,,,,,,,,,
T_CATEGORIAS_MOTIVO_I,No,No,No,USR_MODIF,{DC286433-ECDD-4718-BA32-52155D5BEF9B}+00000000,,,,,,,,,,,,,,,,,
T_CATEGORIAS_TIPO_INTERV,No,No,No,FEC_ALTA,{C405F10E-A782-4E33-BB57-700D8418F482}+00000000,{ED480246-C2AC-4B12-B10D-4AFBB2117FF5}+00000000,FK_TPO_INT_CAT_TIPO_INT,"A T_CATEGORIAS_TIPO_INTERV FK_TPO_INT_CAT_TIPO_INT zero, one or more T_TIPOS_INTERVENCIONs.","A T_TIPOS_INTERVENCION is associated with exactly one T_CATEGORIAS_TIPO_INTERV.",One-to-Zero-One-or-More,"No Nulls",T_CATEGORIAS_TIPO_INTERV,{C405F10E-A782-4E33-BB57-700D8418F482}+00000000,,,,,,,,,
T_CATEGORIAS_TIPO_INTERV,No,No,No,FEC_BAJA,{C405F10E-A782-4E33-BB57-700D8418F482}+00000000,,,,,,,,,,,,,,,,,
T_CATEGORIAS_TIPO_INTERV,No,No,No,FEC_MODIF,{C405F10E-A782-4E33-BB57-700D8418F482}+00000000,,,,,,,,,,,,,,,,,
T_CATEGORIAS_TIPO_INTERV,Yes,No,Yes,ID_CATEGORIA_TIPO_INTERV,{C405F10E-A782-4E33-BB57-700D8418F482}+00000000,,,,,,,,,,,,,,,,,
T_CATEGORIAS_TIPO_INTERV,No,No,Yes,N_CATEGORIA_TIPO_INTERV,{C405F10E-A782-4E33-BB57-700D8418F482}+00000000,,,,,,,,,,,,,,,,,
T_CATEGORIAS_TIPO_INTERV,No,No,No,USR_ALTA,{C405F10E-A782-4E33-BB57-700D8418F482}+00000000,,,,,,,,,,,,,,,,,
T_CATEGORIAS_TIPO_INTERV,No,No,No,USR_BAJA,{C405F10E-A782-4E33-BB57-700D8418F482}+00000000,,,,,,,,,,,,,,,,,
T_CATEGORIAS_TIPO_INTERV,No,No,No,USR_MODIF,{C405F10E-A782-4E33-BB57-700D8418F482}+00000000,,,,,,,,,,,,,,,,,
T_DEPARTAMENTOS_JUDICIAL,No,No,No,FEC_ALTA,{836FAC8D-205E-45A1-B9C1-E1F3D6F18A48}+00000000,{658C01D1-85A4-429F-BBE9-4EA61E14AAA8}+00000000,R/27,"A T_DEPARTAMENTOS_JUDICIAL is associated with zero, one or more T_ORGANOS_JUDICIALs.","A T_ORGANOS_JUDICIAL is associated with zero or one T_DEPARTAMENTOS_JUDICIALs.",Zero-or-One-to-Zero-One-or-More,"Nulls Allowed",T_DEPARTAMENTOS_JUDICIAL,{836FAC8D-205E-45A1-B9C1-E1F3D6F18A48}+00000000,,,,,,,,,
T_DEPARTAMENTOS_JUDICIAL,No,No,No,FEC_BAJA,{836FAC8D-205E-45A1-B9C1-E1F3D6F18A48}+00000000,,,,,,,,,,,,,,,,,
T_DEPARTAMENTOS_JUDICIAL,No,No,No,FEC_MODIF,{836FAC8D-205E-45A1-B9C1-E1F3D6F18A48}+00000000,,,,,,,,,,,,,,,,,
T_DEPARTAMENTOS_JUDICIAL,Yes,No,Yes,ID_DEPARTAMENTO_JUDICIAL,{836FAC8D-205E-45A1-B9C1-E1F3D6F18A48}+00000000,,,,,,,,,,,,,,,,,
T_DEPARTAMENTOS_JUDICIAL,No,No,Yes,N_DEPARTAMENTO_JUDICIAL,{836FAC8D-205E-45A1-B9C1-E1F3D6F18A48}+00000000,,,,,,,,,,,,,,,,,
T_DEPARTAMENTOS_JUDICIAL,No,No,No,USR_ALTA,{836FAC8D-205E-45A1-B9C1-E1F3D6F18A48}+00000000,,,,,,,,,,,,,,,,,
T_DEPARTAMENTOS_JUDICIAL,No,No,No,USR_BAJA,{836FAC8D-205E-45A1-B9C1-E1F3D6F18A48}+00000000,,,,,,,,,,,,,,,,,
T_DEPARTAMENTOS_JUDICIAL,No,No,No,USR_MODIF,{836FAC8D-205E-45A1-B9C1-E1F3D6F18A48}+00000000,,,,,,,,,,,,,,,,,
T_DERECHOS_AFECTADO,No,No,No,FEC_ALTA,{22BDC779-8223-4D92-9353-761BE100F631}+00000000,{C2A80962-88DF-4D78-853E-73182DDD2C50}+00000000,FK_MOT_INTERV_DERECHO_A,"A T_DERECHOS_AFECTADO FK_MOT_INTERV_DERECHO_A zero, one or more T_MOTIVOS_INTERVENCIONs.","A T_MOTIVOS_INTERVENCION is associated with exactly one T_DERECHOS_AFECTADO.",One-to-Zero-One-or-More,"No Nulls",T_DERECHOS_AFECTADO,{22BDC779-8223-4D92-9353-761BE100F631}+00000000,,,,,,,,,
T_DERECHOS_AFECTADO,No,No,No,FEC_BAJA,{22BDC779-8223-4D92-9353-761BE100F631}+00000000,{240FDA0A-ADB7-4834-929A-13971FA6E6DD}+00000000,R/76,"A T_DERECHOS_AFECTADO is associated with zero, one or more T_LLAMADAS_102s.","A T_LLAMADAS_102 is associated with zero or one T_DERECHOS_AFECTADOs.",Zero-or-One-to-Zero-One-or-More,"Nulls Allowed",T_DERECHOS_AFECTADO,{22BDC779-8223-4D92-9353-761BE100F631}+00000000,,,,,,,,,
T_DERECHOS_AFECTADO,No,No,No,FEC_MODIF,{22BDC779-8223-4D92-9353-761BE100F631}+00000000,,,,,,,,,,,,,,,,,
T_DERECHOS_AFECTADO,Yes,No,Yes,ID_DERECHO_AFECTADO,{22BDC779-8223-4D92-9353-761BE100F631}+00000000,,,,,,,,,,,,,,,,,
T_DERECHOS_AFECTADO,No,No,Yes,N_DERECHO_AFECTADO,{22BDC779-8223-4D92-9353-761BE100F631}+00000000,,,,,,,,,,,,,,,,,
T_DERECHOS_AFECTADO,No,No,No,USR_ALTA,{22BDC779-8223-4D92-9353-761BE100F631}+00000000,,,,,,,,,,,,,,,,,
T_DERECHOS_AFECTADO,No,No,No,USR_BAJA,{22BDC779-8223-4D92-9353-761BE100F631}+00000000,,,,,,,,,,,,,,,,,
T_DERECHOS_AFECTADO,No,No,No,USR_MODIF,{22BDC779-8223-4D92-9353-761BE100F631}+00000000,,,,,,,,,,,,,,,,,
T_DERIVADORES,No,No,No,FEC_ALTA,{7E9F6E69-EFAA-4541-B604-8CE46D547806}+00000000,{F93F125D-0F76-4A7B-BBD9-8A08DEB61988}+00000000,FK_INT_PROT_INT_DERIV,"A T_DERIVADORES FK_INT_PROT_INT_DERIV zero, one or more T_INTERV_MPIs.","A T_INTERV_MPI is associated with zero or one T_DERIVADORESs.",Zero-or-One-to-Zero-One-or-More,"Nulls Allowed",T_DERIVADORES,{7E9F6E69-EFAA-4541-B604-8CE46D547806}+00000000,,,,,,,,,
T_DERIVADORES,No,No,No,FEC_BAJA,{7E9F6E69-EFAA-4541-B604-8CE46D547806}+00000000,{7A895EFB-AF28-4337-BBE0-C975A19C0571}+00000000,FK_INT_PROT_EXC_DERIV,"A T_DERIVADORES FK_INT_PROT_EXC_DERIV zero, one or more T_INTERV_MPEs.","A T_INTERV_MPE is associated with zero or one T_DERIVADORESs.",Zero-or-One-to-Zero-One-or-More,"Nulls Allowed",T_DERIVADORES,{7E9F6E69-EFAA-4541-B604-8CE46D547806}+00000000,,,,,,,,,
